Gender,Age,Education
Male,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Male,36 to 45 years old,Secondary school/ high school completed
Male,Not Available,Post graduate
Male,Not Available,Technical school
Female,36 to 45 years old,University or college degree completed
Female,36 to 45 years old,Post-graduate education
Male,Not Available,Secondary/high school
Female,Not Available,College or university
Male,18 to 25 years old,Some university or college
Female,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,Technical school diploma or degree completed
Male,Over 45 years old,Some secondary school / high school
Female,26 to 35 years old,University or college degree completed
Male,Not Available,College or university
Female,Over 45 years old,Some primary education
Male,36 to 45 years old,Post-graduate education
Female,26 to 35 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Male,18 to 25 years old,University or college degree completed
Female,Not Available,Technical school
Male,26 to 35 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Some secondary school / high school
Male,36 to 45 years old,Secondary school/ high school completed
Female,Over 45 years old,Some secondary school / high school
Male,Not Available,Secondary/high school
Female,Not Available,Prefer not to answer
Female,Not Available,Secondary/high school
Male,18 to 25 years old,Some secondary school / high school
Male,26 to 35 years old,Secondary school/ high school completed
Male,36 to 45 years old,University or college degree completed
Female,Not Available,College or university
Male,26 to 35 years old,Secondary school/ high school completed
Female,36 to 45 years old,Technical school diploma or degree completed
Male,Not Available,College or university
Male,26 to 35 years old,University or college degree completed
Male,Not Available,Secondary/high school
Female,Over 45 years old,Secondary school/ high school completed
Male,36 to 45 years old,Technical school diploma or degree completed
Male,26 to 35 years old,University or college degree completed
Female,36 to 45 years old,Some university or college
Male,Not Available,Secondary/high school
Male,Over 45 years old,Post-graduate education
Male,18 to 25 years old,Secondary school/ high school completed
Male,Not Available,College or university
Female,Not Available,College or university
Female,36 to 45 years old,Post-graduate education
Male,Over 45 years old,University or college degree completed
Male,Over 45 years old,Technical school diploma or degree completed
Male,36 to 45 years old,Post-graduate education
Female,36 to 45 years old,Post-graduate education
Female,18 to 25 years old,Some secondary school / high school
Male,18 to 25 years old,Some secondary school / high school
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,University or college degree completed
Female,26 to 35 years old,Some university or college
Female,26 to 35 years old,University or college degree completed
Male,26 to 35 years old,Technical school diploma or degree completed
Female,26 to 35 years old,Some technical education (e.g polytechnic school)
Male,18 to 25 years old,Technical school diploma or degree completed
Male,26 to 35 years old,University or college degree completed
Male,Not Available,Technical school
Male,Over 45 years old,University or college degree completed
Female,Over 45 years old,University or college degree completed
Female,26 to 35 years old,Some technical education (e.g polytechnic school)
Female,26 to 35 years old,University or college degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,26 to 35 years old,Technical school diploma or degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Male,26 to 35 years old,University or college degree completed
Female,18 to 25 years old,Technical school diploma or degree completed
Male,18 to 25 years old,Secondary school/ high school completed
Female,36 to 45 years old,University or college degree completed
Male,26 to 35 years old,Secondary school/ high school completed
Female,18 to 25 years old,University or college degree completed
Male,36 to 45 years old,University or college degree completed
Female,18 to 25 years old,Some university or college
Female,Over 45 years old,Technical school diploma or degree completed
Female,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,Secondary school/ high school completed
Male,18 to 25 years old,University or college degree completed
Female,Over 45 years old,University or college degree completed
Male,Not Available,Secondary/high school
